name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method,Star Type Complex,Star Type Simple
Kepler-669 b,6731,15.742,Neptune-like,2016,20.8,5972200000000000000000000,0.431,11.209,0.0529,0.011225188,0,Transit,M3.0 V,M
Kepler-66 b,3924,15.29,Neptune-like,2013,8.25,5972200000000000000000000,0.25,11.209,0.1352,0.04873374,0,Transit,M3.0 V,M
Kepler-676 b,963,17.15,Neptune-like,2016,9.48,5972200000000000000000000,0.271,11.209,0.0798,0.03175907,0,Transit,M1.0 V,M
Kepler-677 b,6374,15.504,Neptune-like,2016,25,5972200000000000000000000,0.48,11.209,0.067,0.018069815,0,Transit,G8,G
Kepler-678 b,5957,15.161,Neptune-like,2016,23.1,5972200000000000000000000,0.459,11.209,0.0732,0.019986311,0,Transit,M2.5 V,M
Kepler-679 b,3008,15.771,Neptune-like,2016,9.32,5972200000000000000000000,0.269,11.209,0.0983,0.03394935,0,Transit,M1.5 V,M
Kepler-67 b,3690,16.172,Neptune-like,2013,8.96,5972200000000000000000000,0.262,11.209,0.1171,0.04298426,0,Transit,M0.0 V,M
Kepler-680 b,4868,15.321,Neptune-like,2016,6.44,5972200000000000000000000,0.216,11.209,0.0469,0.010130048,0,Transit,M3.0 V,M
Kepler-681 b,2241,15.584,Neptune-like,2016,9.69,5972200000000000000000000,0.275,11.209,0.1635,0.07227926,0,Transit,M0.0 V,M
Kepler-684 b,5647,15.695,Neptune-like,2016,11.2,5972200000000000000000000,0.3,11.209,0.064,0.018617386,0,Transit,M0.0 V,M
Kepler-687 b,2067,15.695,Neptune-like,2016,12.2,5972200000000000000000000,0.314,11.209,0.1326,0.056125943,0,Transit,K7,K
Kepler-689 b,3692,15.938,Neptune-like,2016,8.7,5972200000000000000000000,0.258,11.209,0.1449,0.061327856,0,Transit,K7,K
Kepler-68 b,470,10.077,Neptune-like,2013,7.65,5972200000000000000000000,0.21,11.209,0.0617,0.014784395,0,Transit,K7,K
Kepler-698 b,6510,15.716,Neptune-like,2016,13.1,5972200000000000000000000,0.328,11.209,0.1255,0.044626966,0,Transit,K3 V,K
